adjuster_id,employee_id,first_name,last_name,email,phone,license_number,license_state,specializations,hire_date,status,home_office_id,supervisor_email,max_active_claims
ADJ96538759,EMP27878019,Adj40,Smith,adjuster40@corp.com,555-4342,LIC71459027,CA,Auto,2013-09-01,Inactive,OFF30623108,supervisor@corp.com,18
ADJ71652975,EMP79811305,Adj41,Smith,adjuster41@corp.com,555-5875,LIC23570970,WA,Property,2006-06-24,Active,OFF64388989,supervisor@corp.com,94
ADJ02397469,EMP68033799,Adj42,Smith,adjuster42@corp.com,555-9630,LIC39972752,MA,Fraud,2010-07-27,Active,OFF13995001,supervisor@corp.com,90
ADJ15883288,EMP38955898,Adj43,Smith,adjuster43@corp.com,555-4446,LIC93016370,MA,Property,2007-07-23,Active,OFF38200411,supervisor@corp.com,62
ADJ79858002,EMP52665205,Adj44,Smith,adjuster44@corp.com,555-1262,LIC98573207,IL,Auto,2006-03-05,Active,OFF95734368,supervisor@corp.com,28
ADJ31581884,EMP75982895,Adj45,Smith,adjuster45@corp.com,555-6057,LIC36008666,CA,Fraud,2021-12-28,Inactive,OFF70204628,supervisor@corp.com,60
ADJ06309234,EMP71385163,Adj46,Smith,adjuster46@corp.com,555-8318,LIC40213796,IL,Fraud,2001-08-20,Inactive,OFF78866267,supervisor@corp.com,78
ADJ59842411,EMP06215951,Adj47,Smith,adjuster47@corp.com,555-9160,LIC82070188,CA,Auto,2001-03-31,Inactive,OFF36862562,supervisor@corp.com,47
ADJ70281713,EMP66823609,Adj48,Smith,adjuster48@corp.com,555-2057,LIC37831242,TX,Auto,2024-09-08,Active,OFF00344579,supervisor@corp.com,20
ADJ97879287,EMP95824360,Adj49,Smith,adjuster49@corp.com,555-6247,LIC08064180,MA,Fraud,2015-04-24,Inactive,OFF53403001,supervisor@corp.com,18
ADJ66427315,EMP76643169,Adj50,Smith,adjuster50@corp.com,555-2091,LIC69750467,CA,Property,2014-08-05,Inactive,OFF39239355,supervisor@corp.com,48
ADJ37599196,EMP92844239,Adj51,Smith,adjuster51@corp.com,555-4155,LIC63516146,WA,Fraud,2010-12-19,Inactive,OFF50521126,supervisor@corp.com,23
ADJ44298213,EMP19494531,Adj52,Smith,adjuster52@corp.com,555-8151,LIC93126918,TX,Property,2009-01-24,Active,OFF94547393,supervisor@corp.com,38
ADJ15851975,EMP07540826,Adj53,Smith,adjuster53@corp.com,555-8797,LIC34814486,NY,Property,2011-07-24,Inactive,OFF68793609,supervisor@corp.com,89
ADJ81138375,EMP51821819,Adj54,Smith,adjuster54@corp.com,555-2905,LIC97064322,CA,Property,2004-05-06,Inactive,OFF92656064,supervisor@corp.com,56
ADJ53550877,EMP28822021,Adj55,Smith,adjuster55@corp.com,555-8094,LIC59489216,CA,Auto,2002-09-09,Active,OFF20995532,supervisor@corp.com,85
ADJ68239961,EMP56169651,Adj56,Smith,adjuster56@corp.com,555-1248,LIC27818269,MA,Auto,2012-06-17,Active,OFF81313685,supervisor@corp.com,13
ADJ09825202,EMP10888838,Adj57,Smith,adjuster57@corp.com,555-2143,LIC93914811,WA,Property,2003-02-13,Active,OFF81206258,supervisor@corp.com,21
ADJ89429617,EMP01631313,Adj58,Smith,adjuster58@corp.com,555-2246,LIC46288574,TX,Auto,2013-10-30,Active,OFF37376614,supervisor@corp.com,43
ADJ83567294,EMP42840177,Adj59,Smith,adjuster59@corp.com,555-7641,LIC14722289,MA,Property,2022-11-20,Active,OFF08913787,supervisor@corp.com,50
ADJ64325463,EMP50853983,Adj60,Smith,adjuster60@corp.com,555-9974,LIC16411638,WA,Auto,2021-04-06,Inactive,OFF27979633,supervisor@corp.com,21
ADJ80361112,EMP86675611,Adj61,Smith,adjuster61@corp.com,555-5694,LIC66856609,IL,Auto,2002-12-12,Active,OFF71064669,supervisor@corp.com,39
ADJ31315397,EMP68339376,Adj62,Smith,adjuster62@corp.com,555-3537,LIC42741670,NY,Auto,2018-12-21,Inactive,OFF75366263,supervisor@corp.com,79
ADJ11257831,EMP42256885,Adj63,Smith,adjuster63@corp.com,555-2006,LIC92940168,WA,Fraud,2017-10-07,Active,OFF85585556,supervisor@corp.com,30
ADJ10194724,EMP53644808,Adj64,Smith,adjuster64@corp.com,555-4775,LIC88416536,IL,Property,2003-06-27,Inactive,OFF56565441,supervisor@corp.com,56
ADJ61863970,EMP88462387,Adj65,Smith,adjuster65@corp.com,555-2679,LIC13267119,FL,Property,2017-06-29,Active,OFF55461388,supervisor@corp.com,62
ADJ73674101,EMP76642881,Adj66,Smith,adjuster66@corp.com,555-6037,LIC09803258,CA,Fraud,2019-11-06,Inactive,OFF09820213,supervisor@corp.com,90
ADJ67703747,EMP89250088,Adj67,Smith,adjuster67@corp.com,555-2867,LIC56450012,WA,Property,2013-02-23,Active,OFF36034374,supervisor@corp.com,26
ADJ43926085,EMP66244767,Adj68,Smith,adjuster68@corp.com,555-2502,LIC40660746,WA,Fraud,2017-04-11,Active,OFF28159671,supervisor@corp.com,53
ADJ51726922,EMP41119736,Adj69,Smith,adjuster69@corp.com,555-6080,LIC03053792,WA,Property,2023-07-17,Active,OFF52022351,supervisor@corp.com,40
ADJ81216220,EMP50050700,Adj70,Smith,adjuster70@corp.com,555-2487,LIC12142538,WA,Property,2000-05-23,Inactive,OFF75048000,supervisor@corp.com,63
ADJ72668856,EMP74261782,Adj71,Smith,adjuster71@corp.com,555-4528,LIC90547217,TX,Auto,2010-01-04,Inactive,OFF05505266,supervisor@corp.com,62
ADJ85578108,EMP68741386,Adj72,Smith,adjuster72@corp.com,555-4493,LIC26123308,MA,Fraud,2004-09-17,Active,OFF94522675,supervisor@corp.com,56
ADJ83760042,EMP98236827,Adj73,Smith,adjuster73@corp.com,555-3107,LIC87111499,WA,Fraud,2017-12-29,Inactive,OFF60354094,supervisor@corp.com,42
ADJ91239929,EMP68778764,Adj74,Smith,adjuster74@corp.com,555-8740,LIC14968024,NY,Auto,2023-05-12,Active,OFF68956240,supervisor@corp.com,37
ADJ51371340,EMP88331166,Adj75,Smith,adjuster75@corp.com,555-8758,LIC11289060,FL,Fraud,2025-05-28,Inactive,OFF80534769,supervisor@corp.com,60
ADJ22091874,EMP82106003,Adj76,Smith,adjuster76@corp.com,555-5852,LIC48669597,WA,Fraud,2015-04-01,Inactive,OFF94900867,supervisor@corp.com,66
ADJ58960687,EMP70095728,Adj77,Smith,adjuster77@corp.com,555-5484,LIC91766542,WA,Auto,2000-08-01,Active,OFF23003034,supervisor@corp.com,69
ADJ56897024,EMP34507174,Adj78,Smith,adjuster78@corp.com,555-5310,LIC94630575,FL,Fraud,2019-10-29,Inactive,OFF98567793,supervisor@corp.com,34
ADJ38848462,EMP07708142,Adj79,Smith,adjuster79@corp.com,555-5610,LIC62793898,IL,Property,2014-12-13,Active,OFF88042238,supervisor@corp.com,100
ADJ63588678,EMP86956908,Adj80,Smith,adjuster80@corp.com,555-1940,LIC79308720,CA,Auto,2001-06-23,Active,OFF82202241,supervisor@corp.com,62
ADJ22783374,EMP53993709,Adj81,Smith,adjuster81@corp.com,555-9905,LIC70494279,FL,Property,2002-12-17,Active,OFF56834963,supervisor@corp.com,57
ADJ32785807,EMP66600112,Adj82,Smith,adjuster82@corp.com,555-7170,LIC81209392,CA,Property,2009-10-17,Inactive,OFF62551666,supervisor@corp.com,57
ADJ95569534,EMP80766914,Adj83,Smith,adjuster83@corp.com,555-9507,LIC84701660,MA,Auto,2015-03-05,Inactive,OFF27588388,supervisor@corp.com,77
ADJ26121916,EMP99356017,Adj84,Smith,adjuster84@corp.com,555-1342,LIC56284216,IL,Property,2023-03-19,Inactive,OFF32893822,supervisor@corp.com,72
ADJ04788974,EMP32425882,Adj85,Smith,adjuster85@corp.com,555-7511,LIC19964190,NY,Property,2006-06-13,Inactive,OFF38992700,supervisor@corp.com,27
ADJ32795753,EMP76634796,Adj86,Smith,adjuster86@corp.com,555-2085,LIC06072751,NY,Fraud,2016-12-19,Active,OFF70817417,supervisor@corp.com,15
ADJ87110913,EMP62889012,Adj87,Smith,adjuster87@corp.com,555-2193,LIC08131489,IL,Property,2000-07-30,Active,OFF00896543,supervisor@corp.com,63
ADJ50602864,EMP86916603,Adj88,Smith,adjuster88@corp.com,555-6889,LIC78551514,IL,Fraud,2000-01-02,Active,OFF49695841,supervisor@corp.com,63
ADJ55840244,EMP69943276,Adj89,Smith,adjuster89@corp.com,555-9078,LIC69565989,WA,Fraud,2005-06-16,Inactive,OFF56122909,supervisor@corp.com,90
ADJ14027764,EMP65750566,Adj90,Smith,adjuster90@corp.com,555-2305,LIC64667751,MA,Fraud,2005-04-11,Active,OFF58191951,supervisor@corp.com,56
ADJ14750336,EMP76477751,Adj91,Smith,adjuster91@corp.com,555-7333,LIC12006762,TX,Fraud,2024-10-28,Active,OFF26908332,supervisor@corp.com,48
ADJ52014284,EMP72454781,Adj92,Smith,adjuster92@corp.com,555-8778,LIC00064623,NY,Property,2014-06-08,Inactive,OFF95408621,supervisor@corp.com,19
ADJ93721028,EMP51066695,Adj93,Smith,adjuster93@corp.com,555-4236,LIC57752048,CA,Auto,2006-11-23,Active,OFF68371004,supervisor@corp.com,58
ADJ57623353,EMP22915760,Adj94,Smith,adjuster94@corp.com,555-3548,LIC09844950,FL,Fraud,2019-06-14,Inactive,OFF29325804,supervisor@corp.com,93
ADJ81634748,EMP37954310,Adj95,Smith,adjuster95@corp.com,555-5583,LIC52643707,MA,Property,2018-06-30,Inactive,OFF56635886,supervisor@corp.com,66
ADJ47757629,EMP42042030,Adj96,Smith,adjuster96@corp.com,555-1741,LIC67086324,WA,Property,2014-01-09,Inactive,OFF92890821,supervisor@corp.com,11
ADJ00851227,EMP73977679,Adj97,Smith,adjuster97@corp.com,555-3910,LIC55659104,NY,Auto,2003-05-01,Inactive,OFF50502507,supervisor@corp.com,12
ADJ99862870,EMP48962268,Adj98,Smith,adjuster98@corp.com,555-9978,LIC64482799,FL,Fraud,2013-08-13,Active,OFF65602148,supervisor@corp.com,86
ADJ01692561,EMP80054599,Adj99,Smith,adjuster99@corp.com,555-2783,LIC64629270,IL,Property,2020-08-06,Active,OFF81761491,supervisor@corp.com,36
ADJ50788396,EMP97681096,Adj100,Smith,adjuster100@corp.com,555-6562,LIC22762653,MA,Auto,2021-07-02,Active,OFF47416314,supervisor@corp.com,30
ADJ66757147,EMP18915593,Adj101,Smith,adjuster101@corp.com,555-2782,LIC68571107,TX,Auto,2025-07-05,Active,OFF80193158,supervisor@corp.com,31
ADJ43383114,EMP53118744,Adj102,Smith,adjuster102@corp.com,555-8601,LIC67310385,MA,Property,2024-09-21,Active,OFF54620927,supervisor@corp.com,34
ADJ68945693,EMP52936333,Adj103,Smith,adjuster103@corp.com,555-5796,LIC29571619,WA,Auto,2014-02-12,Inactive,OFF38001151,supervisor@corp.com,40
ADJ40878628,EMP06149956,Adj104,Smith,adjuster104@corp.com,555-8857,LIC47956003,FL,Auto,2007-02-21,Inactive,OFF72071834,supervisor@corp.com,67
ADJ49043575,EMP73090421,Adj105,Smith,adjuster105@corp.com,555-1645,LIC51864326,IL,Fraud,2007-07-12,Active,OFF87860833,supervisor@corp.com,72
ADJ21803851,EMP90245925,Adj106,Smith,adjuster106@corp.com,555-1085,LIC59271477,FL,Property,2000-05-22,Inactive,OFF61464995,supervisor@corp.com,45
ADJ42346348,EMP20477954,Adj107,Smith,adjuster107@corp.com,555-1392,LIC98144160,CA,Auto,2020-10-27,Inactive,OFF45437527,supervisor@corp.com,45
ADJ82271897,EMP56308362,Adj108,Smith,adjuster108@corp.com,555-3594,LIC02656458,IL,Auto,2003-11-21,Active,OFF67555398,supervisor@corp.com,30
ADJ72541008,EMP53665740,Adj109,Smith,adjuster109@corp.com,555-8659,LIC52193744,MA,Auto,2005-12-05,Active,OFF08197350,supervisor@corp.com,41
ADJ30040415,EMP90118796,Adj110,Smith,adjuster110@corp.com,555-1395,LIC89726423,FL,Fraud,2008-09-21,Inactive,OFF28646611,supervisor@corp.com,93
ADJ64929476,EMP12535216,Adj111,Smith,adjuster111@corp.com,555-7428,LIC43591463,TX,Property,2016-04-27,Active,OFF69866343,supervisor@corp.com,70
ADJ90254860,EMP80955391,Adj112,Smith,adjuster112@corp.com,555-9237,LIC46478941,FL,Auto,2015-07-27,Inactive,OFF32463878,supervisor@corp.com,37
ADJ38518746,EMP28562922,Adj113,Smith,adjuster113@corp.com,555-4583,LIC33272245,CA,Auto,2012-07-21,Inactive,OFF23353809,supervisor@corp.com,47
ADJ05491323,EMP88235279,Adj114,Smith,adjuster114@corp.com,555-1187,LIC82241553,FL,Fraud,2003-08-21,Inactive,OFF13255902,supervisor@corp.com,12
ADJ74866761,EMP41399727,Adj115,Smith,adjuster115@corp.com,555-3911,LIC20756054,CA,Fraud,2003-02-02,Inactive,OFF39400051,supervisor@corp.com,87
ADJ83139002,EMP28880165,Adj116,Smith,adjuster116@corp.com,555-2823,LIC67279913,NY,Auto,2024-07-02,Active,OFF43924626,supervisor@corp.com,51
ADJ91149230,EMP68695883,Adj117,Smith,adjuster117@corp.com,555-5179,LIC33474879,FL,Fraud,2025-11-18,Active,OFF40635117,supervisor@corp.com,32
ADJ42245499,EMP78390240,Adj118,Smith,adjuster118@corp.com,555-3572,LIC84020096,TX,Property,2005-03-05,Inactive,OFF94753376,supervisor@corp.com,22
ADJ45601973,EMP36388537,Adj119,Smith,adjuster119@corp.com,555-5926,LIC89164026,CA,Auto,2016-05-27,Inactive,OFF21490091,supervisor@corp.com,63
ADJ67306987,EMP59927248,Adj120,Smith,adjuster120@corp.com,555-4101,LIC61404340,CA,Property,2004-03-05,Active,OFF20515721,supervisor@corp.com,35
ADJ83659930,EMP77520597,Adj121,Smith,adjuster121@corp.com,555-7772,LIC95168288,IL,Property,2001-08-10,Active,OFF70278399,supervisor@corp.com,57
ADJ48763542,EMP21225236,Adj122,Smith,adjuster122@corp.com,555-3585,LIC72579632,CA,Fraud,2002-06-09,Active,OFF69396444,supervisor@corp.com,87
ADJ05655654,EMP27527115,Adj123,Smith,adjuster123@corp.com,555-3000,LIC54317546,IL,Auto,2017-12-21,Active,OFF08271940,supervisor@corp.com,80
ADJ91842260,EMP38291272,Adj124,Smith,adjuster124@corp.com,555-8660,LIC61934196,MA,Property,2021-04-16,Active,OFF23021936,supervisor@corp.com,51
ADJ67487014,EMP73337494,Adj125,Smith,adjuster125@corp.com,555-8876,LIC31987419,IL,Auto,2021-09-15,Active,OFF71812605,supervisor@corp.com,53
ADJ18985736,EMP50424873,Adj126,Smith,adjuster126@corp.com,555-9618,LIC42340849,WA,Auto,2021-09-26,Active,OFF22911318,supervisor@corp.com,75
ADJ82321673,EMP86764467,Adj127,Smith,adjuster127@corp.com,555-7888,LIC11456182,CA,Property,2025-09-29,Active,OFF61883961,supervisor@corp.com,72
ADJ72046877,EMP96734374,Adj128,Smith,adjuster128@corp.com,555-4235,LIC49980164,WA,Property,2013-08-11,Inactive,OFF56867010,supervisor@corp.com,34
ADJ68047947,EMP30360768,Adj129,Smith,adjuster129@corp.com,555-3369,LIC73641821,CA,Auto,2025-06-06,Active,OFF49716720,supervisor@corp.com,24
ADJ27581603,EMP10918963,Adj130,Smith,adjuster130@corp.com,555-5300,LIC84638431,FL,Auto,2024-05-19,Active,OFF98491096,supervisor@corp.com,68
ADJ33772680,EMP02422775,Adj131,Smith,adjuster131@corp.com,555-4865,LIC41419670,IL,Fraud,2023-10-26,Active,OFF04846121,supervisor@corp.com,64
ADJ77993318,EMP02229409,Adj132,Smith,adjuster132@corp.com,555-6566,LIC22401116,IL,Auto,2017-04-05,Inactive,OFF52946450,supervisor@corp.com,67
ADJ94688795,EMP49004236,Adj133,Smith,adjuster133@corp.com,555-9667,LIC20801567,IL,Property,2018-03-26,Inactive,OFF28050215,supervisor@corp.com,11
ADJ18109174,EMP18390173,Adj134,Smith,adjuster134@corp.com,555-8041,LIC71900625,MA,Fraud,2012-10-23,Active,OFF14351263,supervisor@corp.com,42
ADJ82790829,EMP54460551,Adj135,Smith,adjuster135@corp.com,555-5286,LIC51462035,FL,Fraud,2005-01-24,Active,OFF45589162,supervisor@corp.com,65
ADJ10236401,EMP51493546,Adj136,Smith,adjuster136@corp.com,555-5538,LIC06768734,TX,Fraud,2017-07-07,Inactive,OFF96714040,supervisor@corp.com,22
ADJ55254202,EMP30176308,Adj137,Smith,adjuster137@corp.com,555-6120,LIC45764518,MA,Property,2008-09-18,Inactive,OFF53033516,supervisor@corp.com,65
ADJ42066012,EMP39029231,Adj138,Smith,adjuster138@corp.com,555-6930,LIC76595177,NY,Property,2009-06-16,Inactive,OFF95257221,supervisor@corp.com,28
ADJ88427113,EMP14775513,Adj139,Smith,adjuster139@corp.com,555-4482,LIC62043560,FL,Fraud,2000-02-12,Inactive,OFF91835594,supervisor@corp.com,23
ADJ23256503,EMP42377958,Adj140,Smith,adjuster140@corp.com,555-8462,LIC79265552,FL,Fraud,2012-12-23,Active,OFF69779195,supervisor@corp.com,85
ADJ46845005,EMP05035909,Adj141,Smith,adjuster141@corp.com,555-3636,LIC05858689,NY,Property,2020-12-31,Inactive,OFF28628794,supervisor@corp.com,36
ADJ60585384,EMP73984251,Adj142,Smith,adjuster142@corp.com,555-9070,LIC45527694,MA,Fraud,2022-08-11,Active,OFF63794826,supervisor@corp.com,98
ADJ69624266,EMP53290597,Adj143,Smith,adjuster143@corp.com,555-3311,LIC93721608,FL,Property,2011-12-25,Inactive,OFF75714335,supervisor@corp.com,41
ADJ64993287,EMP11865244,Adj144,Smith,adjuster144@corp.com,555-2983,LIC09111155,MA,Property,2010-06-14,Active,OFF53949760,supervisor@corp.com,19
ADJ35325113,EMP73542451,Adj145,Smith,adjuster145@corp.com,555-6052,LIC83500138,CA,Property,2020-08-11,Active,OFF06470708,supervisor@corp.com,95
ADJ33658165,EMP24305353,Adj146,Smith,adjuster146@corp.com,555-6576,LIC60774317,CA,Fraud,2025-09-30,Inactive,OFF33516423,supervisor@corp.com,89
ADJ38916841,EMP26236940,Adj147,Smith,adjuster147@corp.com,555-8975,LIC88999877,FL,Property,2018-08-09,Active,OFF23331184,supervisor@corp.com,51
ADJ82878813,EMP34070938,Adj148,Smith,adjuster148@corp.com,555-7350,LIC84508599,TX,Fraud,2007-05-30,Inactive,OFF36043724,supervisor@corp.com,36
ADJ11247671,EMP91071703,Adj149,Smith,adjuster149@corp.com,555-8907,LIC62927241,FL,Auto,2013-05-17,Active,OFF50982968,supervisor@corp.com,54
ADJ45452899,EMP01578250,Adj150,Smith,adjuster150@corp.com,555-8840,LIC88462678,CA,Fraud,2007-10-29,Inactive,OFF02257082,supervisor@corp.com,18
ADJ50586619,EMP05895676,Adj151,Smith,adjuster151@corp.com,555-9486,LIC13910779,MA,Auto,2015-11-06,Inactive,OFF37096507,supervisor@corp.com,99
ADJ91095002,EMP13731014,Adj152,Smith,adjuster152@corp.com,555-6866,LIC90815485,WA,Auto,2010-10-11,Inactive,OFF63783369,supervisor@corp.com,81
ADJ17772364,EMP99456059,Adj153,Smith,adjuster153@corp.com,555-8543,LIC43585042,MA,Property,2016-04-08,Inactive,OFF60308960,supervisor@corp.com,54
ADJ50086888,EMP42333432,Adj154,Smith,adjuster154@corp.com,555-7173,LIC19161413,NY,Property,2020-11-23,Active,OFF54931915,supervisor@corp.com,85
ADJ11790126,EMP19589202,Adj155,Smith,adjuster155@corp.com,555-9206,LIC27081583,CA,Fraud,2005-09-22,Inactive,OFF10643410,supervisor@corp.com,40
ADJ79474415,EMP56920446,Adj156,Smith,adjuster156@corp.com,555-5191,LIC98337404,CA,Fraud,2021-08-01,Inactive,OFF12413194,supervisor@corp.com,73
ADJ42131472,EMP82210810,Adj157,Smith,adjuster157@corp.com,555-2440,LIC99600993,WA,Auto,2004-03-25,Inactive,OFF90038428,supervisor@corp.com,35
ADJ75346467,EMP09419426,Adj158,Smith,adjuster158@corp.com,555-9297,LIC65810902,FL,Auto,2022-10-19,Active,OFF97489620,supervisor@corp.com,99
ADJ85645801,EMP93050078,Adj159,Smith,adjuster159@corp.com,555-4378,LIC41824612,MA,Fraud,2010-02-14,Active,OFF71612488,supervisor@corp.com,69
ADJ04075724,EMP63403958,Adj160,Smith,adjuster160@corp.com,555-9209,LIC16732101,NY,Fraud,2012-01-10,Active,OFF62060956,supervisor@corp.com,10
ADJ18173533,EMP03850760,Adj161,Smith,adjuster161@corp.com,555-9215,LIC04171476,MA,Auto,2016-01-22,Inactive,OFF96165689,supervisor@corp.com,69
ADJ78177764,EMP73329491,Adj162,Smith,adjuster162@corp.com,555-1488,LIC05912176,NY,Fraud,2001-07-06,Inactive,OFF81872016,supervisor@corp.com,87
ADJ80355765,EMP17711274,Adj163,Smith,adjuster163@corp.com,555-6344,LIC22150846,TX,Auto,2007-07-28,Inactive,OFF86550929,supervisor@corp.com,49
ADJ97123663,EMP43986817,Adj164,Smith,adjuster164@corp.com,555-4849,LIC77197913,CA,Auto,2023-04-14,Inactive,OFF15917710,supervisor@corp.com,71
