policyholder_id,policyholder_number,full_name,policyholder_type,email,phone,address,city,state,zip_code,date_of_birth,risk_score
PH83616937,PN43561950,Customer 44,Business,user44@example.com,555-1042,280 Oak St,Chicago,IL,78317,1970-11-03,743
PH91269277,PN45777516,Customer 45,Business,user45@example.com,555-8923,859 Oak St,Boston,FL,79150,2018-03-04,703
PH66356209,PN40738234,Customer 46,Individual,user46@example.com,555-1592,290 Oak St,San Jose,IL,78803,1984-11-16,560
PH99055322,PN94776867,Customer 47,Individual,user47@example.com,555-1973,725 Oak St,Boston,TX,75404,1950-04-16,458
PH87969412,PN88961509,Customer 48,Individual,user48@example.com,555-3317,100 Oak St,Seattle,FL,77453,2015-10-07,652
PH54935829,PN64625506,Customer 49,Business,user49@example.com,555-4148,603 Oak St,Dallas,WA,75296,1961-07-20,310
PH95039646,PN39386999,Customer 50,Individual,user50@example.com,555-8303,558 Oak St,Boston,TX,76896,1960-10-14,631
PH91069193,PN45803260,Customer 51,Business,user51@example.com,555-7041,911 Oak St,Boston,TX,76797,1988-03-09,539
PH64394738,PN92802832,Customer 52,Individual,user52@example.com,555-8931,153 Oak St,Miami,CA,79100,1978-12-25,377
PH70413733,PN85209464,Customer 53,Business,user53@example.com,555-8395,946 Oak St,Miami,MA,76260,2007-08-13,408
PH12786951,PN68395714,Customer 54,Individual,user54@example.com,555-7364,748 Oak St,San Jose,NY,75194,1975-08-25,858
PH09503498,PN27988780,Customer 55,Individual,user55@example.com,555-3890,313 Oak St,Chicago,WA,77367,1998-08-07,852
PH28612300,PN50334243,Customer 56,Individual,user56@example.com,555-7961,615 Oak St,Chicago,FL,78514,2008-06-16,358
PH35005720,PN86729128,Customer 57,Business,user57@example.com,555-3377,465 Oak St,Seattle,TX,78869,1984-04-08,463
PH04077722,PN75331907,Customer 58,Individual,user58@example.com,555-5221,664 Oak St,Dallas,WA,76549,1978-11-04,815
PH14364182,PN57437235,Customer 59,Individual,user59@example.com,555-8160,923 Oak St,San Jose,CA,79185,1978-11-23,470
PH03247932,PN10081049,Customer 60,Individual,user60@example.com,555-3146,207 Oak St,Chicago,NY,76525,2012-12-10,885
PH36124487,PN12653809,Customer 61,Individual,user61@example.com,555-9834,370 Oak St,Austin,NY,76589,1999-06-15,311
PH70059756,PN15544413,Customer 62,Business,user62@example.com,555-5269,869 Oak St,Dallas,WA,79106,2001-08-20,440
PH24766850,PN14724326,Customer 63,Business,user63@example.com,555-9912,422 Oak St,Dallas,TX,78947,2021-12-25,467
PH76005502,PN03605479,Customer 64,Business,user64@example.com,555-8722,689 Oak St,Miami,IL,78392,2003-05-19,619
PH26411428,PN97299567,Customer 65,Individual,user65@example.com,555-7970,641 Oak St,Chicago,CA,78739,1965-11-27,362
PH48420450,PN71451437,Customer 66,Business,user66@example.com,555-8572,731 Oak St,Seattle,IL,79356,1989-01-19,751
PH37175849,PN37934629,Customer 67,Individual,user67@example.com,555-5502,858 Oak St,Seattle,IL,79694,1998-01-17,586
PH63915850,PN95660237,Customer 68,Business,user68@example.com,555-5602,762 Oak St,Dallas,CA,79107,2011-11-12,621
PH04382511,PN99946425,Customer 69,Individual,user69@example.com,555-5540,947 Oak St,Boston,WA,76586,2018-04-27,625
PH59544935,PN97501203,Customer 70,Business,user70@example.com,555-1237,340 Oak St,San Jose,WA,75573,1975-11-16,369
PH69562242,PN94218722,Customer 71,Individual,user71@example.com,555-3062,292 Oak St,Seattle,CA,75538,1958-03-06,481
PH81045721,PN12157727,Customer 72,Business,user72@example.com,555-2515,286 Oak St,Boston,IL,76618,1976-11-21,517
PH81103621,PN36517940,Customer 73,Business,user73@example.com,555-7521,809 Oak St,Chicago,MA,79438,2003-07-15,729
PH12666171,PN33949275,Customer 74,Individual,user74@example.com,555-6624,297 Oak St,Boston,TX,75379,2008-03-27,449
PH89656134,PN10472787,Customer 75,Individual,user75@example.com,555-4590,578 Oak St,Dallas,NY,79827,1982-02-24,360
PH20228199,PN44703384,Customer 76,Individual,user76@example.com,555-2513,665 Oak St,Dallas,NY,78090,1956-10-19,761
PH45140054,PN14071948,Customer 77,Business,user77@example.com,555-7720,249 Oak St,Chicago,FL,78412,2014-01-08,779
PH40117336,PN97647652,Customer 78,Individual,user78@example.com,555-7102,737 Oak St,Chicago,NY,79015,1969-06-17,506
PH60180094,PN15746182,Customer 79,Individual,user79@example.com,555-9606,681 Oak St,Chicago,TX,76747,1956-04-05,732
PH28718777,PN05863194,Customer 80,Individual,user80@example.com,555-4377,908 Oak St,San Jose,CA,78160,2025-09-14,745
PH43435221,PN73350932,Customer 81,Individual,user81@example.com,555-7762,917 Oak St,Dallas,TX,79556,2003-06-12,376
PH14753764,PN38969578,Customer 82,Business,user82@example.com,555-3701,898 Oak St,Austin,FL,77215,1979-01-30,583
PH71250275,PN74708355,Customer 83,Individual,user83@example.com,555-7969,297 Oak St,Boston,NY,77023,2024-09-17,497
PH32014257,PN92140790,Customer 84,Individual,user84@example.com,555-5229,288 Oak St,Austin,WA,75154,2004-05-04,308
PH90666114,PN46257448,Customer 85,Individual,user85@example.com,555-2016,891 Oak St,Seattle,IL,77659,1989-12-29,501
PH51214400,PN46947096,Customer 86,Business,user86@example.com,555-6115,464 Oak St,Seattle,NY,77574,1964-06-20,356
PH88347106,PN58668101,Customer 87,Business,user87@example.com,555-1846,321 Oak St,San Jose,FL,79986,2005-09-16,671
PH52378016,PN66501021,Customer 88,Business,user88@example.com,555-5700,296 Oak St,San Jose,TX,78064,1955-12-19,626
PH33859439,PN20853814,Customer 89,Individual,user89@example.com,555-7225,214 Oak St,Dallas,MA,75604,1988-10-27,336
PH29038492,PN23154273,Customer 90,Individual,user90@example.com,555-8117,196 Oak St,Austin,MA,79278,1977-08-06,536
PH37899968,PN75964629,Customer 91,Business,user91@example.com,555-1305,751 Oak St,Miami,CA,76238,1953-09-21,606
PH11048248,PN77063416,Customer 92,Individual,user92@example.com,555-4906,768 Oak St,Dallas,CA,79024,1983-01-07,477
PH56639299,PN04202229,Customer 93,Business,user93@example.com,555-4767,364 Oak St,Dallas,MA,78379,1995-06-19,347
PH40424809,PN59099417,Customer 94,Business,user94@example.com,555-7608,850 Oak St,Austin,NY,77210,2011-11-10,899
PH94267039,PN41669762,Customer 95,Business,user95@example.com,555-4799,894 Oak St,Boston,TX,78225,2018-09-16,390
PH95468460,PN11482461,Customer 96,Individual,user96@example.com,555-1464,856 Oak St,San Jose,MA,79950,1973-06-06,466
PH46245674,PN97523551,Customer 97,Business,user97@example.com,555-1301,460 Oak St,Chicago,IL,77469,2022-06-01,302
PH50941298,PN28105598,Customer 98,Individual,user98@example.com,555-4449,352 Oak St,Chicago,NY,78555,2019-08-26,826
PH40674928,PN27370817,Customer 99,Individual,user99@example.com,555-9301,955 Oak St,Dallas,CA,79626,1955-02-26,538
PH04453310,PN67765388,Customer 100,Individual,user100@example.com,555-4570,491 Oak St,Chicago,FL,78005,1995-05-05,411
PH03886511,PN10316547,Customer 101,Business,user101@example.com,555-9978,162 Oak St,San Jose,MA,77750,2003-03-17,536
PH63373272,PN90882772,Customer 102,Business,user102@example.com,555-8388,536 Oak St,Miami,CA,77257,1964-01-26,414
PH37480658,PN60684102,Customer 103,Business,user103@example.com,555-4710,536 Oak St,Chicago,NY,77837,2008-06-29,608
PH90458456,PN75485771,Customer 104,Business,user104@example.com,555-9320,718 Oak St,Miami,TX,77268,1970-09-19,725
PH80759391,PN23401664,Customer 105,Individual,user105@example.com,555-2320,279 Oak St,San Jose,NY,79166,1966-07-30,506
PH13178329,PN89080516,Customer 106,Business,user106@example.com,555-1659,866 Oak St,Boston,TX,77756,1957-05-20,609
PH57583383,PN07329841,Customer 107,Business,user107@example.com,555-4830,492 Oak St,Dallas,MA,78885,1981-02-20,786
PH34449070,PN62326576,Customer 108,Business,user108@example.com,555-2087,177 Oak St,Austin,NY,75474,1982-04-13,877
PH23403498,PN83192185,Customer 109,Business,user109@example.com,555-4614,273 Oak St,Dallas,CA,79957,2024-03-30,400
PH72337243,PN22973500,Customer 110,Individual,user110@example.com,555-2649,647 Oak St,San Jose,WA,76777,1971-01-03,438
PH56042054,PN37784564,Customer 111,Business,user111@example.com,555-6857,724 Oak St,San Jose,CA,75180,2001-03-13,833
PH40867566,PN24753045,Customer 112,Business,user112@example.com,555-9036,982 Oak St,Miami,CA,78344,1970-05-21,545
PH11721536,PN40551512,Customer 113,Individual,user113@example.com,555-2218,309 Oak St,Austin,NY,76453,1997-04-08,886
PH16836652,PN62163783,Customer 114,Business,user114@example.com,555-9736,128 Oak St,Chicago,CA,78934,1963-06-03,410
PH29419579,PN80080031,Customer 115,Individual,user115@example.com,555-4280,819 Oak St,Austin,CA,76603,2022-03-02,624
PH33266683,PN16252271,Customer 116,Individual,user116@example.com,555-3730,646 Oak St,Chicago,TX,77382,1986-01-13,325
PH83106527,PN97606557,Customer 117,Individual,user117@example.com,555-9771,361 Oak St,Boston,WA,76360,2013-05-31,394
PH63715734,PN95274232,Customer 118,Individual,user118@example.com,555-9440,669 Oak St,Miami,NY,75916,1987-11-15,545
PH06085243,PN41791838,Customer 119,Business,user119@example.com,555-5477,922 Oak St,Chicago,CA,78799,2008-12-20,816
PH46297577,PN98410580,Customer 120,Individual,user120@example.com,555-8075,833 Oak St,Boston,IL,79602,2007-05-09,863
PH76243674,PN20338662,Customer 121,Individual,user121@example.com,555-5009,583 Oak St,Seattle,MA,77049,1955-01-01,355
PH32612866,PN08933565,Customer 122,Business,user122@example.com,555-8619,210 Oak St,Boston,WA,78483,2001-05-22,486
PH09571814,PN95366952,Customer 123,Business,user123@example.com,555-5473,775 Oak St,Boston,NY,79184,1964-03-14,539
PH78491375,PN49123298,Customer 124,Individual,user124@example.com,555-1108,942 Oak St,San Jose,NY,79211,1966-07-04,857
PH07655523,PN85572554,Customer 125,Business,user125@example.com,555-2370,799 Oak St,Miami,WA,78607,1954-08-25,384
PH64019152,PN05354395,Customer 126,Individual,user126@example.com,555-4394,471 Oak St,Seattle,TX,75566,1953-01-18,708
PH10532468,PN32022031,Customer 127,Individual,user127@example.com,555-5361,828 Oak St,Dallas,CA,75534,1998-09-02,711
PH58535095,PN58797946,Customer 128,Business,user128@example.com,555-5576,594 Oak St,Austin,IL,77182,1984-05-23,789
PH44132139,PN17274360,Customer 129,Business,user129@example.com,555-8252,446 Oak St,Chicago,IL,78583,1951-01-27,568
PH42741418,PN64611616,Customer 130,Business,user130@example.com,555-4926,852 Oak St,Chicago,IL,79456,1980-05-06,747
PH56225745,PN52042873,Customer 131,Business,user131@example.com,555-6105,151 Oak St,San Jose,FL,79537,2012-01-04,671
PH66452758,PN16470952,Customer 132,Business,user132@example.com,555-7763,321 Oak St,Seattle,CA,77830,1981-12-25,888
PH75950197,PN18838512,Customer 133,Business,user133@example.com,555-1677,734 Oak St,Austin,TX,79670,2009-05-07,473
PH84024226,PN84713731,Customer 134,Business,user134@example.com,555-4429,413 Oak St,Austin,IL,79697,2013-11-24,448
PH26676191,PN54846411,Customer 135,Individual,user135@example.com,555-5137,386 Oak St,Chicago,NY,76629,2004-01-08,489
PH26871262,PN10157839,Customer 136,Business,user136@example.com,555-2235,368 Oak St,Miami,WA,76060,1967-10-15,347
PH91793986,PN67153968,Customer 137,Business,user137@example.com,555-3883,845 Oak St,Miami,MA,78716,1992-12-13,678
PH47219166,PN79399212,Customer 138,Business,user138@example.com,555-8318,470 Oak St,San Jose,NY,79300,1963-05-09,639
PH46185325,PN15970948,Customer 139,Individual,user139@example.com,555-3664,381 Oak St,Boston,FL,76553,2020-03-31,794
PH08516159,PN10796637,Customer 140,Individual,user140@example.com,555-7410,166 Oak St,Austin,NY,78922,1976-01-07,577
PH03280594,PN95860110,Customer 141,Business,user141@example.com,555-1253,976 Oak St,Boston,FL,79242,1999-07-31,882
PH04821332,PN27660935,Customer 142,Individual,user142@example.com,555-4330,638 Oak St,Dallas,IL,77616,2023-06-24,789
PH12262332,PN65247041,Customer 143,Individual,user143@example.com,555-7905,406 Oak St,San Jose,NY,75016,1994-05-12,373
PH28584701,PN54074105,Customer 144,Business,user144@example.com,555-2113,777 Oak St,San Jose,FL,75067,1964-01-24,886
PH71523592,PN22775886,Customer 145,Business,user145@example.com,555-2899,488 Oak St,Chicago,WA,76988,2011-02-23,876
PH12985135,PN37841920,Customer 146,Business,user146@example.com,555-9399,946 Oak St,Seattle,WA,78277,1980-06-17,424
PH35672102,PN50691538,Customer 147,Business,user147@example.com,555-1171,873 Oak St,Dallas,IL,79182,1968-03-12,683
PH40733271,PN35123882,Customer 148,Business,user148@example.com,555-6175,526 Oak St,San Jose,WA,78464,1974-06-27,537
PH54226001,PN25627752,Customer 149,Business,user149@example.com,555-7581,256 Oak St,Boston,IL,76791,1961-05-12,815
PH27902141,PN05151964,Customer 150,Individual,user150@example.com,555-3688,395 Oak St,San Jose,IL,77596,1987-11-02,830
PH08294423,PN88837293,Customer 151,Individual,user151@example.com,555-8346,867 Oak St,Chicago,FL,75222,2013-09-19,641
PH90511433,PN27435931,Customer 152,Business,user152@example.com,555-1149,135 Oak St,Miami,CA,75091,1975-03-21,701
PH27548510,PN44092588,Customer 153,Individual,user153@example.com,555-9662,395 Oak St,Dallas,TX,77377,1955-06-26,730
PH30934576,PN37388017,Customer 154,Business,user154@example.com,555-3633,732 Oak St,Dallas,NY,77987,2015-06-20,452
PH47517185,PN51439911,Customer 155,Individual,user155@example.com,555-9893,379 Oak St,Miami,CA,77389,1978-10-11,429
PH49963785,PN45648791,Customer 156,Business,user156@example.com,555-5374,649 Oak St,Boston,CA,75646,1950-09-07,323
PH18424435,PN23472145,Customer 157,Individual,user157@example.com,555-1992,413 Oak St,Chicago,MA,79880,1991-12-07,881
PH38181836,PN70356392,Customer 158,Business,user158@example.com,555-5163,100 Oak St,Seattle,NY,77501,1955-02-14,521
PH75288980,PN33761696,Customer 159,Individual,user159@example.com,555-4578,408 Oak St,Miami,FL,78715,1955-10-24,751
PH22236653,PN64875035,Customer 160,Individual,user160@example.com,555-4610,972 Oak St,Seattle,CA,78546,1962-12-30,498
PH84892792,PN26604678,Customer 161,Business,user161@example.com,555-7809,850 Oak St,Chicago,NY,76186,2023-09-28,432
PH41112754,PN60094070,Customer 162,Business,user162@example.com,555-6396,592 Oak St,Austin,CA,76367,1988-10-12,364
PH21005803,PN34305973,Customer 163,Business,user163@example.com,555-4923,194 Oak St,Boston,MA,75048,1952-11-22,574
PH52739659,PN87223941,Customer 164,Business,user164@example.com,555-6491,672 Oak St,Miami,IL,77295,2014-12-03,826
PH74005538,PN98182687,Customer 165,Business,user165@example.com,555-6243,317 Oak St,Miami,FL,78662,1990-10-21,629
PH06110536,PN37231358,Customer 166,Business,user166@example.com,555-7302,787 Oak St,Seattle,TX,77877,1986-11-05,335
PH00591564,PN00049995,Customer 167,Individual,user167@example.com,555-5515,647 Oak St,Miami,TX,75950,1990-11-08,433
PH58416284,PN30321659,Customer 168,Individual,user168@example.com,555-1577,158 Oak St,Dallas,FL,76822,2013-07-12,505
PH25060350,PN60660479,Customer 169,Business,user169@example.com,555-2047,182 Oak St,Miami,FL,79799,1974-11-09,335
PH38504048,PN59411093,Customer 170,Individual,user170@example.com,555-7920,629 Oak St,Seattle,CA,78159,1987-01-31,648
PH06188837,PN94088657,Customer 171,Individual,user171@example.com,555-5795,479 Oak St,Miami,FL,77598,1954-01-24,522
PH90912501,PN18708526,Customer 172,Business,user172@example.com,555-3000,590 Oak St,Seattle,CA,75987,1963-06-06,812
PH36118966,PN57249841,Customer 173,Individual,user173@example.com,555-2331,952 Oak St,Dallas,MA,77611,1999-06-25,315
PH98171477,PN80598534,Customer 174,Business,user174@example.com,555-1882,483 Oak St,San Jose,CA,78360,2011-06-15,893
PH39218500,PN82293200,Customer 175,Business,user175@example.com,555-5285,891 Oak St,Dallas,CA,77104,1957-02-06,783
PH07759972,PN58834784,Customer 176,Business,user176@example.com,555-1859,856 Oak St,Austin,FL,78647,1976-01-22,696
PH66910519,PN03031571,Customer 177,Individual,user177@example.com,555-6909,902 Oak St,Dallas,CA,78682,1992-01-31,666
PH14290464,PN87621129,Customer 178,Individual,user178@example.com,555-3473,453 Oak St,San Jose,CA,76721,2019-10-03,673
PH24630400,PN24866132,Customer 179,Business,user179@example.com,555-8771,217 Oak St,Dallas,NY,77635,1951-12-09,643
PH30272716,PN31494483,Customer 180,Business,user180@example.com,555-6014,568 Oak St,San Jose,CA,79272,1999-04-14,554
PH02370578,PN69216765,Customer 181,Individual,user181@example.com,555-9864,812 Oak St,Miami,MA,79007,1972-06-12,565
PH48710967,PN23130925,Customer 182,Individual,user182@example.com,555-8043,827 Oak St,Seattle,IL,76427,2020-10-17,457
PH37691720,PN08509244,Customer 183,Business,user183@example.com,555-8489,235 Oak St,San Jose,NY,75045,1955-04-25,355
PH57941230,PN83174006,Customer 184,Individual,user184@example.com,555-3525,520 Oak St,Seattle,MA,77773,1982-08-04,746
PH07640448,PN64956358,Customer 185,Business,user185@example.com,555-3253,291 Oak St,Dallas,NY,75465,2021-08-11,757
PH89259863,PN24451419,Customer 186,Business,user186@example.com,555-3318,761 Oak St,Chicago,FL,76323,1973-09-17,804
PH17039164,PN66546198,Customer 187,Business,user187@example.com,555-4767,727 Oak St,Miami,NY,75007,2025-04-08,531
PH74936319,PN50908989,Customer 188,Business,user188@example.com,555-8290,752 Oak St,San Jose,WA,77829,2001-02-21,654
PH83801800,PN12107617,Customer 189,Business,user189@example.com,555-4199,944 Oak St,Austin,MA,79053,1957-03-20,756
PH95696925,PN68447942,Customer 190,Individual,user190@example.com,555-3739,153 Oak St,Seattle,MA,77593,1971-04-03,617
PH74584218,PN81064263,Customer 191,Business,user191@example.com,555-6304,786 Oak St,Miami,TX,78316,1961-11-17,679
PH29999458,PN12438661,Customer 192,Individual,user192@example.com,555-5581,373 Oak St,Austin,TX,77157,1961-05-10,337
PH62747613,PN82455377,Customer 193,Individual,user193@example.com,555-4483,517 Oak St,Chicago,MA,79049,2007-09-22,678
PH63687504,PN75722961,Customer 194,Individual,user194@example.com,555-2233,798 Oak St,Austin,MA,76331,1952-05-31,818
PH94168345,PN82763380,Customer 195,Individual,user195@example.com,555-9980,733 Oak St,San Jose,TX,78711,1990-04-14,701
PH88448175,PN16267625,Customer 196,Individual,user196@example.com,555-4927,519 Oak St,Boston,TX,77114,1969-07-13,523
PH42016125,PN70155964,Customer 197,Individual,user197@example.com,555-4604,279 Oak St,Boston,CA,78506,2015-04-17,769
PH36795755,PN82929774,Customer 198,Individual,user198@example.com,555-4473,993 Oak St,Seattle,IL,76429,1979-10-30,741
PH65638386,PN52897564,Customer 199,Individual,user199@example.com,555-5617,760 Oak St,San Jose,NY,76819,1956-03-19,344
PH14294423,PN25425011,Customer 200,Business,user200@example.com,555-7583,820 Oak St,Dallas,NY,76105,2009-07-22,650
PH52406908,PN91930720,Customer 201,Individual,user201@example.com,555-8471,839 Oak St,Miami,MA,75291,1953-06-01,738
PH67216897,PN26432080,Customer 202,Individual,user202@example.com,555-7735,732 Oak St,Miami,MA,78615,1989-12-21,845
PH15369452,PN71923687,Customer 203,Business,user203@example.com,555-8805,788 Oak St,Miami,FL,76878,2009-08-17,621
PH04829562,PN79904901,Customer 204,Business,user204@example.com,555-8867,732 Oak St,Chicago,TX,78868,1982-10-08,716
PH43926896,PN48192709,Customer 205,Business,user205@example.com,555-6539,392 Oak St,Austin,IL,77868,2014-02-15,456
PH58984622,PN19938475,Customer 206,Individual,user206@example.com,555-3245,614 Oak St,Boston,IL,76761,2023-08-05,805
PH08719387,PN06604108,Customer 207,Individual,user207@example.com,555-2293,422 Oak St,San Jose,IL,77463,2021-10-11,823
PH79282459,PN30815422,Customer 208,Business,user208@example.com,555-9357,945 Oak St,Miami,IL,77218,1973-09-12,337
PH90023870,PN19479547,Customer 209,Business,user209@example.com,555-8519,928 Oak St,Seattle,MA,76902,1960-07-04,327
PH05292081,PN52978772,Customer 210,Individual,user210@example.com,555-9801,778 Oak St,Austin,MA,75780,1988-09-30,884
PH67600625,PN01434062,Customer 211,Individual,user211@example.com,555-8785,134 Oak St,Chicago,WA,78911,2005-05-26,356
PH03733473,PN97217155,Customer 212,Business,user212@example.com,555-5871,492 Oak St,Boston,TX,79600,1959-07-09,534
PH60443854,PN75450979,Customer 213,Individual,user213@example.com,555-7220,459 Oak St,Austin,FL,75280,1952-04-08,611
PH08960427,PN39664810,Customer 214,Business,user214@example.com,555-1474,836 Oak St,Boston,TX,78274,1979-08-25,884
PH37697042,PN73302565,Customer 215,Individual,user215@example.com,555-8553,237 Oak St,Boston,NY,76712,1981-11-30,543
PH90017923,PN90119349,Customer 216,Individual,user216@example.com,555-1168,913 Oak St,Chicago,NY,78206,1984-04-16,683
PH84406726,PN02080229,Customer 217,Business,user217@example.com,555-5872,312 Oak St,Dallas,CA,79224,1953-08-02,865
PH80450114,PN61443102,Customer 218,Business,user218@example.com,555-8806,747 Oak St,Dallas,CA,75456,1984-04-11,340
PH24313562,PN59170599,Customer 219,Individual,user219@example.com,555-7583,438 Oak St,Seattle,NY,77966,2021-05-07,380
PH30358980,PN82558641,Customer 220,Business,user220@example.com,555-6439,837 Oak St,Seattle,NY,79974,2017-09-29,589
PH38602456,PN12416498,Customer 221,Individual,user221@example.com,555-3892,898 Oak St,Austin,CA,77571,2016-05-02,371
PH13913265,PN20359983,Customer 222,Individual,user222@example.com,555-2907,970 Oak St,Austin,TX,79110,1968-10-28,402
PH92177534,PN17762322,Customer 223,Individual,user223@example.com,555-6724,903 Oak St,Miami,FL,79245,1966-10-08,865
PH77191866,PN51209585,Customer 224,Individual,user224@example.com,555-4560,805 Oak St,Boston,IL,77439,2001-10-30,355
PH16272992,PN66014359,Customer 225,Individual,user225@example.com,555-4372,799 Oak St,San Jose,WA,76292,1960-11-25,637
PH54653700,PN28740826,Customer 226,Business,user226@example.com,555-7581,469 Oak St,Chicago,NY,79363,2007-11-22,490
PH91266835,PN33165931,Customer 227,Business,user227@example.com,555-3046,279 Oak St,San Jose,IL,78933,1976-12-19,354
PH61075627,PN88089750,Customer 228,Individual,user228@example.com,555-3659,861 Oak St,Miami,IL,79296,1975-12-23,871
PH05656376,PN55356842,Customer 229,Individual,user229@example.com,555-6093,634 Oak St,Miami,TX,79083,2014-08-14,477
PH09207672,PN30355329,Customer 230,Individual,user230@example.com,555-7639,807 Oak St,San Jose,FL,75772,1959-02-02,801
